ticket_id,customer_id,order_id,created_ts,category,priority,channel,sentiment,status,resolution_minutes,summary
T000044,C00115,O0001081,2026-04-17T01:04:00,物流,P3,app,positive,resolved,2599,客户反馈物流状态长时间未更新，请协助核查。
T000045,C00241,O0000511,2026-01-30T13:02:00,产品故障,P2,phone,neutral,resolved,394,设备在使用中出现间歇性故障，需要排查和售后建议。
T000046,C00250,O0000166,2026-03-31T10:14:00,产品故障,P4,email,negative,open,,设备在使用中出现间歇性故障，需要排查和售后建议。
T000047,C00011,O0001358,2026-05-25T12:54:00,发票,P4,chat,neutral,resolved,2967,客户申请变更发票信息并重新开具。
T000048,C00082,O0001458,2026-02-15T16:52:00,安装配置,P2,chat,neutral,resolved,261,客户需要产品安装与网络配置指导。
T000049,C00104,O0001224,2026-04-16T13:32:00,发票,P4,chat,positive,resolved,1634,客户申请变更发票信息并重新开具。
T000050,C00080,O0001819,2026-08-01T12:19:00,物流,P3,chat,neutral,waiting_customer,,客户反馈物流状态长时间未更新，请协助核查。
T000051,C00010,O0001737,2026-06-14T22:46:00,物流,P3,phone,neutral,waiting_customer,,客户反馈物流状态长时间未更新，请协助核查。
T000052,C00113,O0000145,2026-04-04T00:32:00,安装配置,P3,app,neutral,open,,客户需要产品安装与网络配置指导。
T000053,C00198,O0000528,2026-08-06T04:04:00,安装配置,P3,email,negative,closed,2022,客户需要产品安装与网络配置指导。
T000054,C00230,O0001894,2026-03-30T18:07:00,退款,P3,chat,neutral,closed,3212,客户询问退款进度，希望确认预计到账时间。
T000055,C00115,O0000192,2026-07-17T09:24:00,退款,P3,phone,neutral,resolved,140,客户询问退款进度，希望确认预计到账时间。
T000056,C00276,O0001086,2026-05-05T10:53:00,安装配置,P3,email,neutral,closed,434,客户需要产品安装与网络配置指导。
T000057,C00074,O0001674,2026-02-05T14:06:00,安装配置,P2,email,negative,open,,客户需要产品安装与网络配置指导。
T000058,C00204,O0002170,2026-04-23T15:10:00,安装配置,P3,email,neutral,open,,客户需要产品安装与网络配置指导。
T000059,C00177,O0000788,2026-03-21T04:25:00,产品故障,P3,app,negative,waiting_customer,,设备在使用中出现间歇性故障，需要排查和售后建议。
T000060,C00237,O0002167,2026-03-25T09:38:00,安装配置,P3,chat,neutral,resolved,265,客户需要产品安装与网络配置指导。
T000061,C00060,O0001430,2026-07-07T09:13:00,产品故障,P2,chat,neutral,resolved,223,设备在使用中出现间歇性故障，需要排查和售后建议。
T000062,C00235,,2026-07-12T01:48:00,物流,P3,email,neutral,resolved,2455,客户反馈物流状态长时间未更新，请协助核查。
T000063,C00166,O0001402,2026-05-11T07:06:00,物流,P3,chat,negative,resolved,988,客户反馈物流状态长时间未更新，请协助核查。
T000064,C00146,O0001648,2026-07-25T23:37:00,安装配置,P3,email,neutral,resolved,2332,客户需要产品安装与网络配置指导。
T000065,C00115,O0001744,2026-05-10T01:49:00,产品故障,P3,app,negative,closed,851,设备在使用中出现间歇性故障，需要排查和售后建议。
T000066,C00111,,2026-01-30T21:39:00,退款,P3,chat,negative,resolved,745,客户询问退款进度，希望确认预计到账时间。
T000067,C00048,,2026-02-02T22:04:00,账号,P1,email,neutral,resolved,2666,客户无法访问订阅服务，需要确认账号状态。
T000068,C00219,O0001578,2026-04-19T14:20:00,物流,P4,chat,negative,resolved,1248,客户反馈物流状态长时间未更新，请协助核查。
T000069,C00286,O0000168,2026-05-08T00:01:00,退款,P3,app,negative,closed,2291,客户询问退款进度，希望确认预计到账时间。
T000070,C00289,O0001900,2026-01-11T00:26:00,退款,P4,app,positive,resolved,512,客户询问退款进度，希望确认预计到账时间。
T000071,C00106,O0001047,2026-03-27T22:22:00,账号,P3,phone,negative,open,,客户无法访问订阅服务，需要确认账号状态。
T000072,C00082,O0001596,2026-01-12T23:44:00,产品故障,P4,phone,positive,open,,设备在使用中出现间歇性故障，需要排查和售后建议。
T000073,C00080,,2026-07-22T11:50:00,发票,P3,phone,neutral,resolved,1941,客户申请变更发票信息并重新开具。
T000074,C00174,O0001786,2026-04-22T11:50:00,物流,P3,email,neutral,resolved,3360,客户反馈物流状态长时间未更新，请协助核查。
T000075,C00096,O0000994,2026-01-23T11:48:00,产品故障,P3,phone,neutral,closed,535,设备在使用中出现间歇性故障，需要排查和售后建议。
T000076,C00190,,2026-07-12T17:39:00,退款,P3,email,negative,open,,客户询问退款进度，希望确认预计到账时间。
T000077,C00159,O0001476,2026-02-16T12:37:00,退款,P3,chat,negative,waiting_customer,,客户询问退款进度，希望确认预计到账时间。
T000078,C00292,O0001139,2026-07-26T13:51:00,物流,P4,app,negative,resolved,431,客户反馈物流状态长时间未更新，请协助核查。
T000079,C00207,O0002316,2026-03-16T07:48:00,退款,P3,app,negative,resolved,964,客户询问退款进度，希望确认预计到账时间。
T000080,C00103,O0002368,2026-04-17T10:49:00,发票,P3,phone,positive,resolved,1280,客户申请变更发票信息并重新开具。
T000081,C00162,O0001248,2026-02-27T16:08:00,产品故障,P3,phone,neutral,closed,593,设备在使用中出现间歇性故障，需要排查和售后建议。
T000082,C00204,O0000066,2026-01-30T20:33:00,发票,P1,app,neutral,closed,3230,客户申请变更发票信息并重新开具。
T000083,C00142,O0002271,2026-03-06T23:25:00,退款,P3,email,positive,resolved,2463,客户询问退款进度，希望确认预计到账时间。
T000084,C00112,O0002001,2026-01-17T11:53:00,账号,P3,phone,positive,resolved,317,客户无法访问订阅服务，需要确认账号状态。
T000085,C00289,O0001748,2026-02-02T17:15:00,物流,P3,email,negative,resolved,2497,客户反馈物流状态长时间未更新，请协助核查。
T000086,C00026,O0002226,2026-05-11T01:00:00,退款,P2,phone,neutral,resolved,3333,客户询问退款进度，希望确认预计到账时间。
T000087,C00138,O0000349,2026-07-01T17:25:00,退款,P2,app,negative,resolved,2623,客户询问退款进度，希望确认预计到账时间。
T000088,C00025,O0001698,2026-06-13T16:42:00,安装配置,P4,app,neutral,resolved,3086,客户需要产品安装与网络配置指导。
T000089,C00171,O0000799,2026-07-25T21:21:00,物流,P3,chat,neutral,resolved,3328,客户反馈物流状态长时间未更新，请协助核查。
T000090,C00161,,2026-05-29T00:40:00,退款,P3,chat,neutral,waiting_customer,,客户询问退款进度，希望确认预计到账时间。
T000091,C00070,O0001633,2026-04-08T01:22:00,安装配置,P3,chat,negative,resolved,1894,客户需要产品安装与网络配置指导。
T000092,C00180,O0000473,2026-03-19T22:36:00,退款,P2,app,neutral,closed,542,客户询问退款进度，希望确认预计到账时间。
T000093,C00067,O0000873,2026-08-03T23:03:00,产品故障,P4,app,neutral,open,,设备在使用中出现间歇性故障，需要排查和售后建议。
T000094,C00228,O0000146,2026-05-10T03:56:00,退款,P3,app,negative,open,,客户询问退款进度，希望确认预计到账时间。
T000095,C00039,O0000219,2026-07-06T02:15:00,退款,P2,app,negative,resolved,897,客户询问退款进度，希望确认预计到账时间。
T000096,C00295,,2026-02-08T14:35:00,物流,P3,app,negative,waiting_customer,,客户反馈物流状态长时间未更新，请协助核查。
T000097,C00274,O0001050,2026-07-02T13:10:00,账号,P2,email,neutral,open,,客户无法访问订阅服务，需要确认账号状态。
T000098,C00014,O0001181,2026-04-28T07:17:00,退款,P3,phone,neutral,resolved,538,客户询问退款进度，希望确认预计到账时间。
T000099,C00197,O0001347,2026-06-21T09:38:00,产品故障,P3,phone,neutral,resolved,2919,设备在使用中出现间歇性故障，需要排查和售后建议。
T000100,C00264,O0001984,2026-02-13T03:01:00,产品故障,P3,app,negative,resolved,1384,设备在使用中出现间歇性故障，需要排查和售后建议。
T000101,C00137,O0000419,2026-01-10T12:20:00,物流,P1,email,negative,closed,207,客户反馈物流状态长时间未更新，请协助核查。
T000102,C00041,O0000058,2026-04-10T16:12:00,产品故障,P3,email,negative,closed,1838,设备在使用中出现间歇性故障，需要排查和售后建议。
T000103,C00266,O0000410,2026-06-28T01:38:00,产品故障,P2,email,neutral,resolved,2195,设备在使用中出现间歇性故障，需要排查和售后建议。
T000104,C00176,,2026-06-19T08:29:00,退款,P4,app,negative,waiting_customer,,客户询问退款进度，希望确认预计到账时间。
T000105,C00004,,2026-07-11T12:43:00,退款,P3,email,negative,closed,2633,客户询问退款进度，希望确认预计到账时间。
T000106,C00019,O0000452,2026-01-03T12:08:00,安装配置,P3,phone,neutral,waiting_customer,,客户需要产品安装与网络配置指导。
T000107,C00016,O0001571,2026-03-01T05:54:00,物流,P3,chat,neutral,resolved,367,客户反馈物流状态长时间未更新，请协助核查。
T000108,C00038,O0000323,2026-03-21T15:01:00,物流,P3,phone,neutral,resolved,2516,客户反馈物流状态长时间未更新，请协助核查。
T000109,C00086,O0001908,2026-03-20T09:25:00,物流,P4,chat,neutral,resolved,250,客户反馈物流状态长时间未更新，请协助核查。
T000110,C00101,,2026-01-22T20:25:00,发票,P2,phone,negative,closed,704,客户申请变更发票信息并重新开具。
T000111,C00300,O0001947,2026-07-17T07:06:00,安装配置,P4,email,neutral,resolved,3355,客户需要产品安装与网络配置指导。
T000112,C00034,O0000254,2026-07-02T09:06:00,物流,P4,chat,neutral,closed,3574,客户反馈物流状态长时间未更新，请协助核查。
T000113,C00096,,2026-02-04T11:47:00,退款,P3,chat,negative,open,,客户询问退款进度，希望确认预计到账时间。
T000114,C00078,O0002167,2026-04-10T13:44:00,退款,P3,app,neutral,resolved,3033,客户询问退款进度，希望确认预计到账时间。
T000115,C00245,O0000611,2026-04-07T01:35:00,发票,P3,app,neutral,waiting_customer,,客户申请变更发票信息并重新开具。
T000116,C00130,O0000357,2026-02-26T20:33:00,退款,P3,app,negative,closed,2071,客户询问退款进度，希望确认预计到账时间。
T000117,C00115,O0002267,2026-01-18T19:21:00,发票,P2,email,neutral,closed,2197,客户申请变更发票信息并重新开具。
T000118,C00158,O0001932,2026-07-16T19:57:00,物流,P4,chat,neutral,closed,1336,客户反馈物流状态长时间未更新，请协助核查。
T000119,C00104,O0000875,2026-06-27T12:36:00,发票,P4,app,neutral,resolved,1738,客户申请变更发票信息并重新开具。
T000120,C00040,O0001295,2026-05-26T02:58:00,物流,P3,phone,neutral,waiting_customer,,客户反馈物流状态长时间未更新，请协助核查。
T000121,C00295,O0000654,2026-04-15T08:38:00,物流,P2,app,negative,open,,客户反馈物流状态长时间未更新，请协助核查。
T000122,C00052,,2026-01-22T20:48:00,安装配置,P3,email,negative,open,,客户需要产品安装与网络配置指导。
T000123,C00155,O0000508,2026-08-04T06:03:00,产品故障,P3,phone,negative,closed,2019,设备在使用中出现间歇性故障，需要排查和售后建议。
T000124,C00137,O0001043,2026-02-10T20:35:00,账号,P2,email,negative,waiting_customer,,客户无法访问订阅服务，需要确认账号状态。
T000125,C00241,O0000837,2026-04-16T20:33:00,产品故障,P3,phone,negative,closed,1984,设备在使用中出现间歇性故障，需要排查和售后建议。
T000126,C00256,O0001886,2026-03-21T13:52:00,安装配置,P2,app,neutral,resolved,1309,客户需要产品安装与网络配置指导。
T000127,C00250,,2026-08-04T20:48:00,退款,P3,phone,positive,waiting_customer,,客户询问退款进度，希望确认预计到账时间。
T000128,C00151,O0000722,2026-03-18T16:09:00,安装配置,P3,chat,neutral,open,,客户需要产品安装与网络配置指导。
T000129,C00045,O0002139,2026-07-10T02:58:00,账号,P3,email,neutral,closed,1577,客户无法访问订阅服务，需要确认账号状态。
T000130,C00088,O0001578,2026-03-16T08:46:00,产品故障,P3,phone,negative,open,,设备在使用中出现间歇性故障，需要排查和售后建议。
T000131,C00136,O0000269,2026-05-24T20:32:00,产品故障,P3,phone,positive,resolved,1949,设备在使用中出现间歇性故障，需要排查和售后建议。
T000132,C00084,O0000347,2026-01-03T12:03:00,物流,P3,app,negative,closed,1488,客户反馈物流状态长时间未更新，请协助核查。
T000133,C00188,O0002140,2026-07-16T08:47:00,发票,P3,phone,negative,resolved,455,客户申请变更发票信息并重新开具。
T000134,C00069,O0001583,2026-04-19T23:37:00,安装配置,P2,email,negative,open,,客户需要产品安装与网络配置指导。
T000135,C00022,O0001682,2026-04-14T12:57:00,产品故障,P3,phone,neutral,closed,472,设备在使用中出现间歇性故障，需要排查和售后建议。
T000136,C00017,O0000302,2026-06-20T04:49:00,发票,P3,email,neutral,resolved,3267,客户申请变更发票信息并重新开具。
T000137,C00176,,2026-04-15T02:05:00,物流,P3,phone,neutral,closed,2007,客户反馈物流状态长时间未更新，请协助核查。
T000138,C00138,O0002052,2026-06-30T21:44:00,物流,P4,app,negative,resolved,567,客户反馈物流状态长时间未更新，请协助核查。
T000139,C00103,O0000315,2026-01-14T11:21:00,发票,P3,phone,neutral,resolved,1231,客户申请变更发票信息并重新开具。
T000140,C00277,,2026-01-13T17:41:00,退款,P3,app,negative,resolved,3253,客户询问退款进度，希望确认预计到账时间。
T000141,C00249,,2026-02-16T15:36:00,安装配置,P3,phone,neutral,open,,客户需要产品安装与网络配置指导。
T000142,C00180,O0001713,2026-01-11T23:55:00,产品故障,P4,chat,negative,closed,3059,设备在使用中出现间歇性故障，需要排查和售后建议。
T000143,C00120,O0000789,2026-07-27T05:21:00,退款,P4,app,negative,resolved,1399,客户询问退款进度，希望确认预计到账时间。
T000144,C00132,O0001377,2026-02-10T23:59:00,退款,P2,chat,neutral,resolved,1138,客户询问退款进度，希望确认预计到账时间。
T000145,C00127,O0000455,2026-07-10T00:33:00,产品故障,P4,app,positive,resolved,2221,设备在使用中出现间歇性故障，需要排查和售后建议。
T000146,C00174,,2026-07-27T06:14:00,退款,P3,app,negative,resolved,177,客户询问退款进度，希望确认预计到账时间。
T000147,C00048,O0001750,2026-08-09T07:13:00,退款,P2,email,negative,resolved,3572,客户询问退款进度，希望确认预计到账时间。
T000148,C00148,O0001699,2026-02-19T00:33:00,产品故障,P3,app,positive,resolved,3479,设备在使用中出现间歇性故障，需要排查和售后建议。
T000149,C00096,O0001089,2026-01-26T04:16:00,产品故障,P3,chat,neutral,waiting_customer,,设备在使用中出现间歇性故障，需要排查和售后建议。
T000150,C00027,O0001504,2026-06-12T13:46:00,物流,P2,email,neutral,closed,1708,客户反馈物流状态长时间未更新，请协助核查。
T000151,C00089,,2026-07-18T10:59:00,发票,P3,app,neutral,open,,客户申请变更发票信息并重新开具。
T000152,C00171,O0002218,2026-05-03T03:21:00,产品故障,P4,email,neutral,closed,135,设备在使用中出现间歇性故障，需要排查和售后建议。
T000153,C00211,O0001831,2026-06-01T02:07:00,产品故障,P2,chat,neutral,resolved,3418,设备在使用中出现间歇性故障，需要排查和售后建议。
T000154,C00108,O0002262,2026-07-11T07:09:00,物流,P4,chat,neutral,resolved,2647,客户反馈物流状态长时间未更新，请协助核查。
T000155,C00092,O0000616,2026-05-14T10:02:00,退款,P3,phone,negative,resolved,713,客户询问退款进度，希望确认预计到账时间。
T000156,C00057,O0000440,2026-07-06T02:49:00,退款,P3,email,negative,resolved,2075,客户询问退款进度，希望确认预计到账时间。
T000157,C00051,O0001891,2026-01-13T14:06:00,退款,P3,phone,neutral,resolved,1760,客户询问退款进度，希望确认预计到账时间。
T000158,C00226,O0001260,2026-04-17T04:46:00,退款,P4,phone,positive,resolved,1788,客户询问退款进度，希望确认预计到账时间。
T000159,C00101,O0000107,2026-08-05T02:34:00,物流,P3,chat,neutral,resolved,363,客户反馈物流状态长时间未更新，请协助核查。
T000160,C00066,O0000791,2026-05-19T10:50:00,安装配置,P4,app,neutral,resolved,1180,客户需要产品安装与网络配置指导。
T000161,C00075,,2026-01-28T14:54:00,安装配置,P3,email,negative,resolved,2957,客户需要产品安装与网络配置指导。
T000162,C00106,O0002131,2026-05-23T10:01:00,退款,P3,app,negative,open,,客户询问退款进度，希望确认预计到账时间。
T000163,C00192,O0002331,2026-06-24T02:31:00,账号,P2,chat,positive,resolved,2767,客户无法访问订阅服务，需要确认账号状态。
T000164,C00097,O0002208,2026-02-04T06:21:00,物流,P2,phone,neutral,resolved,523,客户反馈物流状态长时间未更新，请协助核查。
T000165,C00201,O0001380,2026-04-30T04:55:00,账号,P3,app,neutral,resolved,1920,客户无法访问订阅服务，需要确认账号状态。
T000166,C00241,O0002102,2026-04-30T17:51:00,物流,P3,chat,negative,closed,397,客户反馈物流状态长时间未更新，请协助核查。
T000167,C00167,O0000202,2026-05-07T02:42:00,产品故障,P3,app,negative,closed,274,设备在使用中出现间歇性故障，需要排查和售后建议。
T000168,C00107,O0002023,2026-05-16T14:39:00,退款,P3,email,neutral,resolved,1305,客户询问退款进度，希望确认预计到账时间。
T000169,C00041,O0001076,2026-01-23T05:31:00,退款,P1,phone,neutral,resolved,1234,客户询问退款进度，希望确认预计到账时间。
T000170,C00178,O0000511,2026-02-08T19:11:00,物流,P4,app,neutral,open,,客户反馈物流状态长时间未更新，请协助核查。
T000171,C00204,O0002265,2026-04-22T10:37:00,发票,P3,chat,neutral,resolved,642,客户申请变更发票信息并重新开具。
T000172,C00005,O0001750,2026-05-17T12:27:00,产品故障,P3,app,negative,resolved,1464,设备在使用中出现间歇性故障，需要排查和售后建议。
T000173,C00027,O0002354,2026-07-11T15:24:00,产品故障,P3,chat,neutral,resolved,1009,设备在使用中出现间歇性故障，需要排查和售后建议。
T000174,C00184,,2026-08-08T04:24:00,退款,P2,email,neutral,resolved,648,客户询问退款进度，希望确认预计到账时间。
T000175,C00256,O0001439,2026-01-21T01:12:00,产品故障,P3,chat,negative,resolved,1109,设备在使用中出现间歇性故障，需要排查和售后建议。
T000176,C00174,,2026-08-06T01:07:00,安装配置,P3,email,negative,closed,2290,客户需要产品安装与网络配置指导。
T000177,C00291,,2026-02-20T15:29:00,退款,P3,email,negative,resolved,2963,客户询问退款进度，希望确认预计到账时间。
T000178,C00173,O0000196,2026-06-15T10:50:00,退款,P2,email,negative,resolved,2205,客户询问退款进度，希望确认预计到账时间。
T000179,C00012,O0001850,2026-03-29T05:00:00,退款,P3,phone,positive,closed,2671,客户询问退款进度，希望确认预计到账时间。
T000180,C00102,O0002380,2026-05-26T23:26:00,安装配置,P4,email,positive,resolved,3485,客户需要产品安装与网络配置指导。
T000181,C00296,,2026-02-03T17:44:00,产品故障,P3,chat,negative,closed,2889,设备在使用中出现间歇性故障，需要排查和售后建议。
T000182,C00243,,2026-01-29T11:50:00,安装配置,P4,email,negative,open,,客户需要产品安装与网络配置指导。
T000183,C00199,,2026-02-10T08:18:00,退款,P3,email,negative,closed,2697,客户询问退款进度，希望确认预计到账时间。
T000184,C00086,O0000823,2026-05-31T04:36:00,产品故障,P2,phone,neutral,closed,3347,设备在使用中出现间歇性故障，需要排查和售后建议。
T000185,C00090,,2026-06-17T11:20:00,发票,P3,phone,neutral,closed,2490,客户申请变更发票信息并重新开具。
T000186,C00233,O0001211,2026-05-07T14:25:00,物流,P3,phone,neutral,closed,3297,客户反馈物流状态长时间未更新，请协助核查。
T000187,C00178,O0000999,2026-01-09T16:12:00,物流,P1,chat,negative,closed,1892,客户反馈物流状态长时间未更新，请协助核查。
T000188,C00252,O0001865,2026-01-02T10:17:00,物流,P3,email,neutral,waiting_customer,,客户反馈物流状态长时间未更新，请协助核查。
T000189,C00086,,2026-05-28T07:41:00,安装配置,P4,chat,neutral,resolved,297,客户需要产品安装与网络配置指导。
T000190,C00183,O0000036,2026-06-05T03:30:00,账号,P3,phone,negative,open,,客户无法访问订阅服务，需要确认账号状态。
T000191,C00048,O0000276,2026-04-16T03:12:00,产品故障,P2,app,negative,resolved,1124,设备在使用中出现间歇性故障，需要排查和售后建议。
T000192,C00178,O0000219,2026-01-03T04:31:00,物流,P3,app,positive,resolved,1567,客户反馈物流状态长时间未更新，请协助核查。
T000193,C00193,O0001641,2026-04-02T22:04:00,安装配置,P3,email,neutral,resolved,809,客户需要产品安装与网络配置指导。
T000194,C00069,O0001385,2026-02-11T22:57:00,产品故障,P2,phone,neutral,resolved,439,设备在使用中出现间歇性故障，需要排查和售后建议。
T000195,C00018,O0001797,2026-02-09T03:32:00,物流,P3,app,positive,resolved,2136,客户反馈物流状态长时间未更新，请协助核查。
T000196,C00021,O0002257,2026-05-16T20:36:00,产品故障,P2,chat,neutral,resolved,2871,设备在使用中出现间歇性故障，需要排查和售后建议。
T000197,C00131,O0000915,2026-06-12T08:16:00,安装配置,P1,chat,neutral,resolved,2227,客户需要产品安装与网络配置指导。
T000198,C00139,O0000872,2026-05-25T13:03:00,物流,P4,app,neutral,resolved,972,客户反馈物流状态长时间未更新，请协助核查。
T000199,C00029,O0000941,2026-06-26T12:12:00,账号,P3,chat,neutral,resolved,665,客户无法访问订阅服务，需要确认账号状态。
T000200,C00069,O0001654,2026-06-02T21:28:00,产品故障,P3,chat,negative,resolved,242,设备在使用中出现间歇性故障，需要排查和售后建议。
T000201,C00252,,2026-03-15T16:27:00,安装配置,P2,phone,neutral,resolved,728,客户需要产品安装与网络配置指导。
T000202,C00213,O0001784,2026-01-05T12:27:00,退款,P3,phone,negative,closed,2608,客户询问退款进度，希望确认预计到账时间。
T000203,C00092,O0001442,2026-07-03T19:01:00,安装配置,P3,chat,positive,resolved,2155,客户需要产品安装与网络配置指导。
T000204,C00219,O0000240,2026-04-24T13:37:00,退款,P2,phone,negative,open,,客户询问退款进度，希望确认预计到账时间。
T000205,C00279,,2026-04-08T02:27:00,物流,P2,phone,neutral,resolved,3471,客户反馈物流状态长时间未更新，请协助核查。
T000206,C00089,O0000875,2026-06-17T20:12:00,产品故障,P3,chat,neutral,resolved,1000,设备在使用中出现间歇性故障，需要排查和售后建议。
T000207,C00081,O0000316,2026-06-29T02:51:00,产品故障,P3,email,neutral,resolved,2780,设备在使用中出现间歇性故障，需要排查和售后建议。
T000208,C00229,O0001463,2026-08-04T19:14:00,安装配置,P2,phone,neutral,resolved,445,客户需要产品安装与网络配置指导。
T000209,C00084,O0000666,2026-04-30T18:26:00,物流,P3,chat,neutral,resolved,2063,客户反馈物流状态长时间未更新，请协助核查。
T000210,C00162,O0002096,2026-07-23T09:01:00,安装配置,P4,chat,negative,resolved,1989,客户需要产品安装与网络配置指导。
T000211,C00158,O0000230,2026-04-27T18:05:00,发票,P3,phone,neutral,resolved,2112,客户申请变更发票信息并重新开具。
T000212,C00223,,2026-06-20T08:50:00,物流,P3,app,negative,resolved,1940,客户反馈物流状态长时间未更新，请协助核查。
